no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status
2,0,0,4,0,0.0,0,22,2017,10,6,4,0.0,0.0,0.0,115.0,2,1
3,0,0,1,0,0.0,3,51,2018,7,15,4,0.0,0.0,0.0,137.7,1,1
2,0,0,3,1,0.0,0,34,2017,9,23,3,0.0,0.0,0.0,224.67,0,0
2,0,1,3,3,0.0,0,94,2018,11,3,4,0.0,0.0,0.0,79.2,1,1
2,0,2,1,0,0.0,0,40,2018,8,28,4,0.0,0.0,0.0,112.5,1,1
2,0,1,5,3,0.0,0,85,2018,3,28,4,0.0,0.0,0.0,72.25,1,1
2,2,1,2,3,0.6931471805599453,5,4,2017,8,14,4,0.0,0.0,0.0,162.0,3,1
3,0,0,3,0,0.0,6,46,2018,9,20,4,0.0,0.0,0.0,243.9,1,0
2,0,2,1,0,0.0,0,24,2017,12,5,2,0.0,0.0,0.0,50.0,0,1
1,0,1,1,3,0.0,0,7,2017,10,5,4,0.0,0.0,0.0,114.0,1,1
2,0,0,2,1,0.0,0,74,2017,9,18,3,0.0,0.0,0.0,109.0,0,1
2,0,2,2,0,0.0,0,2,2018,5,15,3,0.0,0.0,0.0,81.75,0,1
3,0,0,1,0,0.0,3,36,2018,7,15,4,0.0,0.0,0.0,168.3,1,1
1,0,0,2,0,0.0,0,8,2018,3,1,3,0.0,0.0,0.0,56.0,0,1
2,0,0,3,0,0.0,0,304,2018,11,3,3,0.0,0.0,0.0,89.0,0,0
1,0,2,2,0,0.0,0,5,2017,9,26,4,0.0,0.0,0.0,206.0,1,1
2,0,1,1,0,0.0,0,78,2018,7,18,4,0.0,0.0,0.0,105.3,0,0
2,0,0,2,0,0.0,0,6,2017,12,3,3,0.0,0.0,0.0,55.0,0,1
2,1,0,1,0,0.0,0,45,2018,2,27,4,0.0,0.0,0.0,86.55,1,1
0,2,1,2,0,0.0,1,17,2018,9,9,4,0.0,0.0,0.0,109.45,2,1
2,0,2,3,0,0.0,0,151,2018,8,11,4,0.0,0.0,0.0,97.75,1,1
2,0,2,4,0,0.0,0,13,2018,12,3,4,0.0,0.0,0.0,89.39,0,1
2,0,0,3,0,0.0,1,56,2018,12,7,4,0.0,0.0,0.0,82.44,1,1
1,0,2,4,0,0.0,0,69,2018,6,12,3,0.0,0.0,0.0,120.0,0,0
3,0,0,1,0,0.0,3,60,2018,6,23,4,0.0,0.0,0.0,132.3,0,0
2,0,0,3,0,0.0,3,148,2018,6,29,3,0.0,0.0,0.0,88.12,0,1
2,1,1,4,0,0.0,0,41,2018,3,28,3,0.0,0.0,0.0,98.55,1,1
0,2,0,3,0,0.0,1,113,2018,3,31,4,0.0,0.0,0.0,78.0,1,1
1,0,0,3,0,0.0,0,151,2018,1,19,3,0.0,0.0,0.0,80.0,0,1
1,0,0,1,0,0.0,0,4,2018,11,29,2,0.0,0.0,0.0,79.0,1,1
2,0,0,3,0,0.0,0,279,2018,10,12,3,0.0,0.0,0.0,110.0,0,0
1,0,0,3,0,0.0,0,7,2018,5,5,3,0.0,0.0,0.0,112.0,0,1
1,0,0,4,0,0.0,0,69,2017,7,22,4,0.0,0.0,0.0,68.0,1,0
2,0,0,4,0,0.0,0,115,2018,5,11,4,0.0,0.0,0.0,109.65,0,0
2,1,0,3,0,0.0,0,50,2017,12,31,3,0.0,0.0,0.0,71.33,0,1
2,1,1,0,0,0.0,0,11,2018,4,18,4,0.0,0.0,0.0,119.0,1,1
2,0,0,3,0,0.0,1,230,2018,7,26,4,0.0,0.0,0.0,95.75,1,0
2,0,2,1,0,0.0,0,66,2018,9,18,3,0.0,0.0,0.0,80.75,0,1
3,0,1,2,0,0.0,0,186,2018,4,22,3,0.0,0.0,0.0,115.0,0,0
2,1,2,2,0,0.6931471805599453,0,186,2018,8,26,4,0.0,0.0,0.0,106.25,1,0
2,0,1,3,0,0.0,3,52,2018,3,31,4,0.0,0.0,0.0,99.88,1,1
1,0,0,1,0,0.0,0,1,2017,10,8,3,0.0,0.0,0.0,85.0,0,1
1,0,2,0,0,0.0,0,61,2017,10,4,4,0.0,0.0,0.0,0.0,0,1
2,0,0,3,0,0.0,0,52,2018,3,3,4,0.0,0.0,0.0,78.3,0,0
2,0,1,2,0,0.6931471805599453,3,70,2018,9,16,4,0.0,0.0,0.0,158.4,1,1
3,0,1,2,0,0.0,0,1,2018,3,4,4,0.0,0.0,0.0,137.0,2,1
1,0,2,5,3,0.0,0,11,2017,10,23,4,0.0,0.0,0.0,116.71,3,1
2,0,0,1,3,0.0,0,15,2018,6,23,4,0.0,0.0,0.0,89.0,1,0
2,1,2,2,0,0.0,0,71,2018,6,17,3,0.0,0.0,0.0,93.08,1,1
3,0,1,2,0,0.6931471805599453,3,46,2018,4,29,4,0.0,0.0,0.0,159.3,2,1
2,0,0,1,3,0.0,0,1,2018,8,16,4,0.0,0.0,0.0,184.5,2,1
2,1,0,1,0,0.0,0,5,2018,2,27,4,0.0,0.0,0.0,93.0,0,1
2,0,1,3,0,0.0,0,37,2018,1,28,4,0.0,0.0,0.0,58.37,1,1
2,0,0,2,0,0.0,0,29,2018,10,5,4,0.0,0.0,0.0,152.0,2,1
1,0,0,3,3,0.0,0,0,2018,3,22,4,0.0,0.0,0.0,111.33,1,1
2,0,1,0,0,0.0,0,38,2018,8,15,4,0.0,0.0,0.0,135.9,0,0
2,0,0,3,3,0.0,0,160,2018,7,14,4,0.0,0.0,0.0,94.5,0,0
2,0,0,2,1,0.0,0,265,2018,6,24,3,0.0,0.0,0.0,115.0,1,0
2,0,0,1,3,0.0,0,98,2018,6,23,4,0.0,0.0,0.0,85.5,1,0
2,0,0,3,0,0.0,3,11,2018,6,2,4,0.0,0.0,0.0,152.67,1,1
2,0,0,1,3,0.0,0,184,2018,10,12,4,0.0,0.0,0.0,98.1,0,0
2,0,0,1,3,0.0,0,2,2018,5,28,4,0.0,0.0,0.0,149.0,1,1
1,0,1,1,0,0.0,0,4,2018,9,26,3,0.0,0.0,0.0,98.1,0,0
1,0,1,2,0,0.0,0,0,2017,9,7,4,0.0,0.0,0.0,148.67,0,1
2,0,1,1,0,0.0,0,168,2018,8,20,4,0.0,0.0,0.0,105.3,0,0
1,0,0,1,0,0.0,0,7,2017,10,22,2,0.6931471805599453,0.6931471805599453,0.0,65.0,0,1
1,0,0,1,0,0.0,0,4,2018,2,19,2,0.0,0.0,0.0,81.0,0,1
2,1,2,1,1,0.0,0,35,2018,8,28,4,0.0,0.0,0.0,171.45,0,0
2,1,1,2,0,0.0,3,187,2018,7,18,4,0.0,0.0,0.0,122.8,2,0
2,0,0,1,3,0.0,0,32,2018,10,29,4,0.0,0.0,0.0,109.0,2,1
1,0,0,1,0,0.0,0,1,2018,8,2,2,0.0,0.0,0.0,65.0,1,1
2,0,1,3,3,0.0,0,49,2018,10,3,4,0.0,0.0,0.0,108.0,0,0
2,0,1,1,0,0.0,3,24,2018,3,12,4,0.0,0.0,0.0,71.46,1,1
2,0,2,2,0,0.0,6,17,2018,9,17,4,0.0,0.0,0.0,238.15,2,1
2,0,0,3,0,0.0,0,59,2018,11,2,4,0.0,0.0,0.0,71.1,2,1
1,0,2,2,0,0.0,0,16,2018,1,31,3,0.0,0.0,0.0,43.0,0,1
2,1,1,1,0,0.0,0,152,2018,7,11,4,0.0,0.0,0.0,119.0,2,0
2,0,2,5,0,0.0,0,150,2018,8,8,4,0.0,0.0,0.0,107.95,1,1
2,0,0,4,3,0.0,0,112,2018,8,9,4,0.0,0.0,0.0,112.5,1,1
2,0,0,1,3,0.0,0,19,2018,4,13,4,0.0,0.0,0.0,119.0,1,1
2,0,0,1,3,0.0,0,252,2018,9,16,4,0.0,0.0,0.0,95.4,2,0
1,2,4,9,0,0.0,5,30,2018,11,2,4,0.0,0.0,0.0,186.22,1,0
1,0,0,2,0,0.0,0,1,2017,9,29,2,0.0,0.0,0.0,85.0,0,1
1,0,0,3,0,0.0,0,8,2017,11,26,4,0.0,0.0,0.0,66.98,0,1
1,0,1,3,0,0.0,3,68,2017,11,30,3,0.0,0.0,0.0,60.0,1,1
2,0,2,0,1,0.0,0,275,2018,4,17,3,0.0,0.0,0.0,110.0,0,0
2,0,0,4,0,0.0,0,145,2018,5,3,4,0.0,0.0,0.0,99.45,0,1
1,0,4,11,0,0.0,0,43,2018,11,29,4,0.0,0.0,0.0,74.8,1,0
2,0,0,1,0,0.0,0,10,2018,4,22,4,0.0,0.0,0.0,131.0,1,1
1,0,2,1,0,0.0,0,1,2018,2,28,3,0.0,0.0,0.0,60.0,0,0
2,0,1,5,0,0.0,0,10,2018,11,22,4,0.0,0.0,0.0,100.38,2,1
1,0,0,2,0,0.0,0,64,2018,5,17,2,0.0,0.0,0.0,130.0,0,1
1,0,2,1,0,0.0,0,20,2017,10,11,2,0.0,0.0,0.0,65.0,0,1
2,0,2,0,0,0.0,0,9,2018,11,13,4,0.0,0.0,0.0,105.0,2,1
3,0,2,5,0,0.0,3,4,2018,2,12,4,0.0,0.0,0.0,128.29,1,0
2,0,0,1,3,0.0,0,1,2018,1,15,4,0.6931471805599453,2.4849066497880004,1.791759469228055,75.0,0,1
1,0,0,2,0,0.0,0,103,2018,4,19,3,0.0,0.0,0.0,115.0,0,0
2,0,0,2,0,0.0,0,245,2018,6,17,3,0.0,0.0,0.0,75.0,0,0
1,0,1,2,0,0.0,0,31,2017,12,11,3,0.0,0.0,0.0,55.8,1,1
2,1,0,1,0,0.0,0,35,2018,8,9,4,0.0,0.0,0.0,152.1,1,1
2,0,1,3,0,0.0,0,290,2018,12,1,4,0.0,0.0,0.0,73.95,0,0
2,0,1,5,0,0.0,0,41,2018,12,27,3,0.0,0.0,0.0,70.0,0,1
2,0,1,3,0,0.0,0,2,2017,8,17,4,0.0,0.0,0.0,122.0,2,1
1,0,0,1,0,0.0,0,49,2017,9,22,2,0.0,0.0,0.0,65.0,0,1
2,0,1,2,0,0.0,0,25,2018,8,22,4,0.0,0.0,0.0,110.46,1,1
2,0,0,3,0,0.0,0,32,2017,10,6,4,0.0,0.0,0.0,94.5,2,1
2,0,1,5,0,0.0,0,104,2018,4,11,4,0.0,0.0,0.0,65.67,1,1
2,0,0,3,0,0.0,1,57,2018,12,8,4,0.0,0.0,0.0,82.44,1,1
2,0,2,3,0,0.0,0,12,2018,11,10,4,0.0,0.0,0.0,90.07,1,1
1,0,0,1,3,0.0,0,19,2018,1,21,4,0.0,0.0,0.0,75.0,1,1
2,0,0,3,0,0.0,0,64,2018,7,26,4,0.0,0.0,0.0,105.3,1,1
2,0,1,3,0,0.0,0,266,2018,12,26,4,0.0,0.0,0.0,73.95,0,0
2,0,0,1,3,0.0,0,106,2018,7,15,4,0.0,0.0,0.0,94.5,0,0
2,0,1,4,0,0.0,0,30,2018,1,6,3,0.0,0.0,0.0,60.0,0,1
2,0,0,2,3,0.0,0,131,2018,8,5,4,0.0,0.0,0.0,76.23,2,1
2,0,0,3,0,0.0,0,44,2018,2,17,3,0.0,0.0,0.0,75.0,0,1
1,0,0,2,0,0.0,0,13,2017,10,28,2,0.0,0.0,0.0,65.0,0,1
1,0,0,2,1,0.0,0,74,2017,9,18,3,0.0,0.0,0.0,80.0,0,1
3,0,1,1,0,0.0,0,196,2018,8,6,4,0.0,0.0,0.0,128.7,0,0
2,1,0,3,1,0.0,0,87,2018,6,2,4,0.0,0.0,0.0,185.85,2,1
2,0,0,0,0,0.0,0,16,2017,10,8,4,0.0,0.0,0.0,0.0,1,1
3,0,1,2,0,0.0,3,58,2018,6,10,4,0.0,0.0,0.0,158.53,2,1
2,0,0,4,0,0.6931471805599453,0,156,2018,7,5,4,0.0,0.0,0.0,114.83,1,0
2,0,0,1,3,0.0,0,52,2018,11,5,4,0.0,0.0,0.0,88.0,1,1
2,0,2,1,0,0.0,0,71,2017,10,24,4,0.0,0.0,0.0,89.25,2,1
2,0,2,3,0,0.0,0,303,2018,8,19,3,0.0,0.0,0.0,78.0,0,0
2,0,0,3,3,0.0,0,15,2018,5,31,4,0.0,0.0,0.0,109.0,0,0
2,0,2,1,0,0.0,6,10,2017,12,27,3,0.0,0.0,0.0,52.0,0,1
2,0,0,2,1,0.0,0,39,2017,8,14,3,0.0,0.0,0.0,101.5,0,1
2,1,2,1,0,0.0,5,16,2017,9,5,4,0.0,0.0,0.0,165.0,3,1
2,0,2,2,0,0.0,0,41,2018,11,27,3,0.0,0.0,0.0,68.0,0,1
1,0,0,2,0,0.0,0,1,2018,12,15,4,0.0,0.0,0.0,88.0,1,1
2,1,0,1,0,0.0,0,23,2018,3,18,4,0.0,0.0,0.0,109.0,0,1
2,0,1,3,0,0.0,1,134,2018,6,2,4,0.0,0.0,0.0,114.96,1,1
2,0,1,1,0,0.0,0,33,2018,1,25,2,0.0,0.0,0.0,64.0,0,1
2,0,0,1,1,0.0,0,170,2017,9,12,3,0.0,0.0,0.0,96.9,2,1
2,0,0,2,0,0.0,0,74,2018,12,2,3,0.0,0.0,0.0,75.0,0,1
2,0,0,3,0,0.0,3,66,2018,7,19,4,0.0,0.0,0.0,126.0,0,0
2,0,0,3,3,0.0,0,29,2018,4,14,4,0.0,0.0,0.0,102.0,1,1
1,0,1,3,0,0.0,0,63,2017,7,2,4,0.0,0.0,0.0,68.0,0,0
2,0,1,3,0,0.0,3,66,2018,10,31,4,0.0,0.0,0.0,104.85,1,1
2,0,1,2,0,0.0,3,74,2018,12,26,4,0.0,0.0,0.0,102.6,1,1
2,0,2,2,3,0.0,0,199,2018,12,23,4,0.0,0.0,0.0,74.8,1,0
2,0,1,2,0,0.0,0,41,2017,10,16,4,0.0,0.0,0.0,105.9,2,1
2,0,1,3,0,0.0,0,200,2018,5,2,4,0.0,0.0,0.0,106.2,2,0
2,0,1,2,0,0.0,0,233,2018,10,14,3,0.0,0.0,0.0,90.0,0,0
2,0,1,1,0,0.0,0,77,2018,11,19,4,0.0,0.0,0.0,93.6,1,1
2,0,2,4,0,0.0,0,8,2018,1,27,4,0.0,0.0,0.0,73.2,1,1
2,0,0,5,0,0.0,0,44,2018,11,1,4,0.0,0.0,0.0,91.8,2,1
2,0,1,3,0,0.0,0,135,2018,6,16,4,0.0,0.0,0.0,119.85,2,1
2,0,2,1,0,0.0,0,80,2018,4,24,3,0.0,0.0,0.0,75.0,0,1
2,0,2,3,0,0.0,3,88,2018,9,15,4,0.0,0.0,0.0,149.4,1,1
2,0,0,3,0,0.0,0,63,2017,12,3,4,0.0,0.0,0.0,102.9,1,1
2,0,1,2,3,0.0,0,6,2017,9,21,4,0.0,0.0,0.0,114.0,1,1
1,0,0,3,0,0.0,0,37,2018,10,13,3,0.0,0.0,0.0,95.0,0,1
1,0,2,5,0,0.0,0,102,2018,7,23,4,0.0,0.0,0.0,99.9,0,0
2,0,0,1,0,0.0,0,180,2017,10,16,3,0.0,0.0,0.0,70.0,0,0
1,0,0,1,3,0.0,0,0,2018,9,2,4,0.0,0.0,0.0,149.0,0,1
1,0,0,1,3,0.0,0,0,2018,4,5,3,0.0,0.0,0.0,84.0,0,1
2,0,1,1,1,0.0,0,247,2018,6,6,3,0.0,0.0,0.0,109.0,0,0
2,0,1,1,1,0.0,0,117,2018,12,24,4,0.0,0.0,0.0,127.8,1,0
2,0,0,3,0,0.0,0,32,2018,10,25,3,0.0,0.0,0.0,85.0,1,1
2,0,2,2,0,0.0,0,48,2018,3,20,4,0.0,0.0,0.0,93.5,2,1
2,0,0,2,1,0.0,3,80,2017,10,9,3,0.0,0.0,0.0,136.0,0,1
2,0,0,3,0,0.0,0,335,2018,10,13,3,0.0,0.0,0.0,90.0,1,1
2,0,0,3,0,0.0,0,37,2018,10,13,3,0.0,0.0,0.0,105.0,0,1
2,0,1,0,3,0.0,0,45,2018,10,17,4,0.0,0.0,0.0,126.0,2,1
1,0,2,2,0,0.0,0,54,2018,10,16,3,0.0,0.0,0.0,66.5,0,1
1,0,2,4,0,0.0,0,69,2018,6,12,3,0.0,0.0,0.0,120.0,0,0
1,0,0,2,0,0.0,0,181,2018,10,11,3,0.0,0.0,0.0,120.0,0,0
2,0,0,3,1,0.0,0,81,2018,3,16,4,0.0,0.0,0.0,85.68,0,1
2,0,2,5,3,0.0,0,154,2018,8,11,3,0.0,0.0,0.0,63.75,0,1
2,0,2,5,0,0.0,3,113,2018,5,16,4,0.0,0.0,0.0,137.21,2,1
2,1,2,2,0,0.0,4,33,2018,8,13,3,0.0,0.0,0.0,150.57,0,1
1,0,2,4,0,0.0,0,245,2018,7,6,3,0.0,0.0,0.0,110.0,0,0
1,0,1,3,0,0.0,0,12,2017,10,12,2,0.0,0.0,0.0,95.0,0,1
2,0,1,3,0,0.0,0,266,2018,12,26,4,0.0,0.0,0.0,73.95,0,0
2,0,1,2,3,0.0,0,85,2018,3,28,4,0.0,0.0,0.0,76.5,1,1
2,0,2,2,0,0.0,0,112,2017,12,4,4,0.0,0.0,0.0,52.85,1,1
2,0,1,3,0,0.0,3,63,2018,2,4,4,0.0,0.0,0.0,62.32,3,1
1,0,0,4,0,0.0,0,8,2018,11,16,4,0.0,0.0,0.0,80.75,2,1
1,0,2,1,0,0.0,0,79,2018,8,13,4,0.0,0.0,0.0,112.5,1,1
2,0,0,2,0,0.0,0,83,2018,9,7,4,0.0,0.0,0.0,135.9,2,1
2,0,2,0,3,0.0,0,196,2018,9,11,4,0.0,0.0,0.0,116.1,0,0
1,0,0,2,0,0.0,0,2,2017,8,19,1,0.0,0.0,0.0,0.0,0,1
2,0,2,3,0,0.0,0,97,2018,9,10,4,0.0,0.0,0.0,135.9,1,1
2,0,0,4,3,0.0,0,4,2018,6,29,4,0.0,0.0,0.0,127.0,2,1
2,0,2,2,0,0.0,0,63,2018,8,14,4,0.0,0.0,0.0,135.9,2,1
1,0,0,0,3,0.0,0,3,2018,10,14,4,0.0,0.0,0.0,0.0,0,1
2,0,0,3,0,0.0,0,197,2018,4,12,4,0.0,0.0,0.0,106.2,2,0
2,0,2,2,0,0.0,0,179,2018,7,17,4,0.0,0.0,0.0,90.95,1,1
2,0,1,2,0,0.0,0,86,2018,5,20,3,0.0,0.0,0.0,65.0,1,1
2,0,0,3,0,0.0,0,2,2018,1,7,4,0.0,0.0,0.0,96.0,1,1
1,0,0,2,0,0.0,0,192,2018,6,24,3,0.0,0.0,0.0,95.0,0,1
2,0,2,1,0,0.0,0,11,2017,11,1,4,0.0,0.0,0.0,87.0,1,1
1,0,0,2,0,0.0,0,64,2018,5,17,2,0.0,0.0,0.0,130.0,0,1
1,0,0,1,0,0.0,0,6,2018,6,23,4,0.0,0.0,0.0,95.0,0,0
2,0,0,4,0,0.0,1,53,2018,11,29,4,0.0,0.0,0.0,77.86,2,1
2,0,2,3,0,0.0,0,198,2018,8,25,3,0.0,0.0,0.0,72.25,0,1
2,0,0,2,3,0.0,0,39,2018,5,12,4,0.0,0.0,0.0,116.1,0,0
2,0,0,2,0,0.0,0,68,2018,11,25,4,0.0,0.0,0.0,93.6,0,1
1,0,2,1,3,0.0,0,32,2018,6,12,4,0.0,0.0,0.0,65.14,1,1
2,0,2,2,0,0.0,0,80,2018,7,15,3,0.0,0.0,0.0,72.25,0,1
2,0,0,2,0,0.0,3,44,2018,5,18,4,0.0,0.0,0.0,140.4,1,1
3,0,2,3,0,0.0,0,166,2018,7,7,4,0.0,0.0,0.0,121.55,0,0
1,0,0,3,3,0.0,0,15,2018,5,31,4,0.0,0.0,0.0,109.0,1,1
2,0,2,3,0,0.0,0,93,2018,5,21,4,0.0,0.0,0.0,119.85,0,0
1,0,1,0,0,0.0,0,10,2017,10,18,2,0.0,0.0,0.0,65.0,0,1
2,0,0,4,1,0.0,0,323,2018,5,17,3,0.0,0.0,0.0,112.0,1,0
2,0,0,3,0,0.0,0,8,2018,6,30,4,0.0,0.0,0.0,116.27,2,1
1,0,0,2,1,0.0,0,6,2017,12,10,4,0.0,0.0,0.0,0.0,0,1
2,0,1,2,0,0.0,0,267,2018,9,30,3,0.0,0.0,0.0,95.0,0,0
2,0,1,0,0,0.0,3,5,2018,5,1,4,0.0,0.0,0.0,155.0,1,1
2,1,1,0,0,0.0,0,8,2018,8,28,4,0.0,0.0,0.0,112.0,2,1
1,0,0,2,0,0.0,0,188,2018,6,15,3,0.0,0.0,0.0,130.0,0,0
2,0,1,5,0,0.0,0,70,2018,7,11,3,0.0,0.0,0.0,85.0,1,1
2,0,1,2,1,0.0,0,161,2018,3,25,3,0.0,0.0,0.0,130.0,0,0
2,0,2,1,1,0.0,0,57,2018,10,29,4,0.0,0.0,0.0,141.3,1,0
2,0,1,2,0,0.6931471805599453,0,65,2018,3,28,4,0.0,0.0,0.0,96.3,0,1
2,0,1,5,0,0.0,3,126,2018,5,9,4,0.0,0.0,0.0,111.35,1,1
1,0,1,2,0,0.0,0,219,2017,9,4,3,0.0,0.0,0.0,76.67,0,1
1,1,2,2,0,0.0,0,179,2018,8,26,4,0.0,0.0,0.0,82.18,0,0
1,0,1,0,0,0.6931471805599453,0,4,2018,10,3,2,0.6931471805599453,0.0,0.6931471805599453,67.0,1,1
3,0,1,1,0,0.0,3,11,2018,5,2,4,0.0,0.0,0.0,186.0,2,1
2,0,0,4,3,0.0,0,17,2018,10,19,4,0.0,0.0,0.0,140.0,1,1
1,0,2,4,0,0.0,0,69,2018,6,12,3,0.0,0.0,0.0,120.0,0,0
2,0,0,1,3,0.0,0,1,2018,6,23,4,0.0,0.0,0.0,97.0,0,1
1,0,4,6,0,0.0,0,243,2018,9,4,4,0.0,0.0,0.0,89.17,0,0
2,0,0,2,1,0.0,0,39,2017,8,14,3,0.0,0.0,0.0,101.5,0,1
2,0,0,1,3,0.0,0,50,2018,9,2,4,0.0,0.0,0.0,99.0,0,0
0,2,1,3,0,0.0,1,182,2018,10,31,4,0.0,0.0,0.0,83.5,1,1
1,0,2,4,0,0.0,0,245,2018,7,6,3,0.0,0.0,0.0,110.0,0,0
2,0,1,3,3,0.0,0,107,2018,9,5,4,0.0,0.0,0.0,118.8,1,0
2,0,1,0,0,0.0,0,286,2018,10,16,3,0.0,0.0,0.0,90.0,0,0
2,0,0,1,0,0.0,0,176,2018,9,15,4,0.0,0.0,0.0,97.71,0,0
2,0,0,3,0,0.0,0,176,2018,9,8,3,0.0,0.0,0.0,125.1,0,0
0,2,2,3,0,0.0,1,40,2018,4,30,4,0.0,0.0,0.0,127.83,1,1
2,0,0,2,0,0.0,0,65,2018,7,27,4,0.0,0.0,0.0,109.9,1,1
2,0,2,3,0,0.0,0,276,2018,5,13,3,0.0,0.0,0.0,61.0,0,0
1,0,1,2,0,0.0,0,14,2018,1,8,4,0.0,0.0,0.0,68.85,0,1
2,0,2,1,3,0.0,0,110,2018,8,14,3,0.0,0.0,0.0,63.75,0,1
2,0,1,2,1,0.0,0,27,2018,10,17,4,0.0,0.0,0.0,177.0,2,1
3,0,2,3,0,0.0,3,62,2018,4,2,4,0.0,0.0,0.0,125.63,1,0
1,0,1,0,0,0.0,0,7,2018,5,16,4,0.0,0.0,0.0,97.0,0,1
1,0,0,2,1,0.0,0,14,2017,9,17,4,0.0,0.0,0.0,0.0,0,1
2,0,2,2,3,0.0,0,13,2018,11,20,4,0.0,0.0,0.0,77.14,1,0
2,0,0,1,0,0.0,0,162,2018,8,27,4,0.0,0.0,0.0,96.3,0,0
3,0,2,3,0,0.0,0,38,2018,4,10,4,0.0,0.0,0.0,137.7,1,1
2,0,0,1,3,0.0,0,5,2018,7,29,4,0.0,0.0,0.0,109.0,0,1
2,0,2,5,0,0.0,0,28,2017,9,11,4,0.0,0.0,0.0,113.79,2,0
2,0,1,2,0,0.0,0,123,2018,12,9,4,0.0,0.0,0.0,90.0,2,1
1,0,1,5,0,0.0,0,349,2018,10,4,3,0.0,0.0,0.0,96.67,0,0
2,0,2,1,0,0.0,0,41,2018,9,11,3,0.0,0.0,0.0,85.5,0,1
2,0,0,4,1,0.0,0,100,2018,9,28,3,0.0,0.0,0.0,140.0,1,1
2,0,0,1,3,0.0,0,8,2018,5,25,4,0.0,0.0,0.0,119.0,0,1
2,0,2,4,0,0.0,3,91,2018,10,20,4,0.0,0.0,0.0,127.65,1,0
2,0,2,2,0,0.6931471805599453,1,18,2017,12,4,4,0.0,0.0,0.0,102.88,0,1
2,1,2,5,0,0.6931471805599453,0,188,2018,8,9,4,0.0,0.0,0.0,123.75,2,0
2,0,2,3,1,0.0,3,33,2018,10,2,4,0.0,0.0,0.0,123.82,0,0
1,0,0,1,0,0.0,0,41,2018,12,27,3,0.0,0.0,0.0,60.0,0,1
2,1,1,2,0,0.0,0,190,2018,8,8,4,0.0,0.0,0.0,121.5,1,0
2,2,2,2,0,0.0,5,144,2018,5,27,4,0.0,0.0,0.0,177.65,1,0
2,0,2,2,0,0.0,3,25,2018,11,25,4,0.0,0.0,0.0,96.9,0,0
1,0,0,2,0,0.0,0,4,2018,2,12,4,0.0,0.0,0.0,85.0,0,1
2,0,0,2,0,0.0,3,5,2018,4,20,4,0.0,0.0,0.0,116.0,0,0
2,0,2,5,3,0.0,0,188,2018,7,23,4,0.0,0.0,0.0,80.75,1,1
2,0,2,2,0,0.0,0,116,2018,3,25,3,0.0,0.0,0.0,59.5,0,0
1,0,0,1,0,0.0,0,86,2018,4,27,4,0.0,0.0,0.0,85.5,1,1
1,0,0,2,0,0.0,0,1,2017,7,28,2,0.0,0.0,0.0,65.0,0,1
1,0,1,3,0,0.0,0,56,2018,6,9,3,0.0,0.0,0.0,74.0,0,1
2,0,1,2,0,0.0,0,302,2018,9,16,3,0.0,0.0,0.0,100.0,0,0
2,0,0,3,0,0.0,0,433,2018,9,8,3,0.0,0.0,0.0,70.0,0,0
1,0,0,2,0,0.0,0,164,2017,10,2,3,0.0,0.0,0.0,100.0,0,1
3,0,1,1,0,0.0,3,52,2018,5,28,4,0.0,0.0,0.0,159.3,2,1
2,0,2,3,0,0.0,0,4,2018,9,15,4,0.0,0.0,0.0,169.0,0,1
3,0,1,4,0,0.0,3,79,2018,7,6,4,0.0,0.0,0.0,148.86,2,1
2,0,0,2,0,0.0,0,10,2018,2,9,4,0.0,0.0,0.0,93.0,1,0
2,0,0,2,0,0.0,0,22,2018,5,20,3,0.0,0.0,0.0,140.0,0,1
2,0,2,1,0,0.0,0,205,2018,5,29,3,0.0,0.0,0.0,90.0,0,0
2,1,3,7,0,0.0,0,74,2017,7,27,4,0.0,0.0,0.0,69.4,0,1
2,0,2,3,0,0.0,0,50,2018,4,1,4,0.0,0.0,0.0,101.31,0,0
2,0,2,4,0,0.0,3,56,2018,3,30,4,0.0,0.0,0.0,101.72,1,1
2,0,2,3,0,0.0,0,166,2018,8,4,4,0.0,0.0,0.0,99.45,1,1
2,0,1,2,0,0.0,0,193,2018,6,20,3,0.0,0.0,0.0,120.0,0,0
2,0,2,1,1,0.0,0,145,2017,8,29,3,0.0,0.0,0.0,94.5,0,1
2,0,0,3,0,0.0,0,0,2018,10,4,4,0.0,0.0,0.0,103.5,2,1
2,0,1,3,0,0.0,0,114,2018,7,11,4,0.0,0.0,0.0,81.26,0,1
2,0,2,5,0,0.0,3,56,2018,5,13,4,0.0,0.0,0.0,132.6,0,0
3,0,0,2,0,0.0,3,21,2018,7,27,4,0.0,0.0,0.0,187.0,1,1
2,0,1,1,0,0.0,1,75,2018,3,21,4,0.0,0.0,0.0,78.15,0,1
2,0,2,1,0,0.0,3,142,2018,6,26,4,0.0,0.0,0.0,109.8,0,1
2,1,0,2,0,0.0,5,69,2018,1,1,4,0.0,0.0,0.0,171.2,3,1
2,0,2,0,0,0.0,0,116,2018,2,28,3,0.0,0.0,0.0,70.0,0,1
